_id,leaf_label,pred,text
175,Phishing/Other-Phishing,Phishing/Refund-Phishing,"De : noreply@notify.thinkific.com <noreply@notify.thinkific.com> 

Envoyé : dimanche, 18 décembre 2022 07:03

À : paul@gmail.ch

Objet : Your suspension notification!



 







 





 



   <https://files.cdn.thinkific.com/file_uploads/167072/images/7cf/726/a81/png.png> 



Dear user,



We were unable to validate your billing information for the next billing cycle of your subscription therefore we'll suspend your membership if we do not receive a response from you within 48hours.



Obviously we'd love to have you back, simply update your details and continue to enjoy all the best TV shows & movies without interruption.



 







RESTART MEMBERSHIP <https://email.notify.thinkific.com/c/eJwNjUEOgyAQRU8jOw0OFJkFi256DQPDEEm1WsQ26elL_tv9lzx2o5lGpZWaUETnKYEHkZ1RyD5KRo0JZ8PWjwE0INysJtNpeebIz_zuIyd_rbU3GAOaZAL19DV2GjafV7E4SoRqamsiaLZBmVvQI3iyYLlFV7fUepydunfwaPB27CVfG3Fhn0_KfqB9G0Jp368UUdzn1_ovriClHGgR1Z258vzltYk8H2WPF9W8v_5B3kWO> 





 



We're here to help if you need it. Visit the Help

Center for more info or contact us.



 



—The Netflix Team





 





 



 





  <https://ecp.yusercontent.com/mail?url=https%3A%2F%2Fimages.trvl-media.com%2Fmedia%2Fcontent%2Fexpus%2Fgraphics%2Fmail%2Fimages%2Fspacer.gif&t=1671327144&ymreqid=47278aa2-f381-8451-1c57-110003012f00&sig=ltdT9DXCu_q4SPeJMc84xQ--~D> 





  <https://ecp.yusercontent.com/mail?url=https%3A%2F%2Fimages.trvl-media.com%2Fmedia%2Fcontent%2Fexpus%2Fgraphics%2Fmail%2Fimages%2Fspacer.gif&t=1671327144&ymreqid=47278aa2-f381-8451-1c57-110003012f00&sig=ltdT9DXCu_q4SPeJMc84xQ--~D> 



  <https://ecp.yusercontent.com/mail?url=https%3A%2F%2Fimages.trvl-media.com%2Fmedia%2Fcontent%2Fexpus%2Fgraphics%2Fmail%2Femail_wotif%2Fbase-soc-fb.png&t=1671327144&ymreqid=47278aa2-f381-8451-1c57-110003012f00&sig=1o091_TJj5VihHt.BDtCSA--~D> 



  <https://ecp.yusercontent.com/mail?url=https%3A%2F%2Fimages.trvl-media.com%2Fmedia%2Fcontent%2Fexpus%2Fgraphics%2Fmail%2Fimages%2Fspacer.gif&t=1671327144&ymreqid=47278aa2-f381-8451-1c57-110003012f00&sig=ltdT9DXCu_q4SPeJMc84xQ--~D> 



  <https://ecp.yusercontent.com/mail?url=https%3A%2F%2Fimages.trvl-media.com%2Fmedia%2Fcontent%2Fexpus%2Fgraphics%2Fmail%2Femail_wotif%2Fbase-soc-twt.png&t=1671327144&ymreqid=47278aa2-f381-8451-1c57-110003012f00&sig=ND8xotj8od21wVN99RTUPA--~D> 



  <https://ecp.yusercontent.com/mail?url=https%3A%2F%2Fimages.trvl-media.com%2Fmedia%2Fcontent%2Fexpus%2Fgraphics%2Fmail%2Fimages%2Fspacer.gif&t=1671327144&ymreqid=47278aa2-f381-8451-1c57-110003012f00&sig=ltdT9DXCu_q4SPeJMc84xQ--~D> 



  <https://ecp.yusercontent.com/mail?url=https%3A%2F%2Fimages.trvl-media.com%2Fmedia%2Fcontent%2Fexpus%2Fgraphics%2Fmail%2Femail_wotif%2Fbase-soc-ins.png&t=1671327144&ymreqid=47278aa2-f381-8451-1c57-110003012f00&sig=v0GS0gzpNnEjuhBPTpmceA--~D> 



  <https://ecp.yusercontent.com/mail?url=https%3A%2F%2Fimages.trvl-media.com%2Fmedia%2Fcontent%2Fexpus%2Fgraphics%2Fmail%2Fimages%2Fspacer.gif&t=1671327144&ymreqid=47278aa2-f381-8451-1c57-110003012f00&sig=ltdT9DXCu_q4SPeJMc84xQ--~D> 



  <https://ecp.yusercontent.com/mail?url=https%3A%2F%2Fimages.trvl-media.com%2Fmedia%2Fcontent%2Fexpus%2Femail%2F2016%2FETM%2FLM%2Fbase-soc-blg.png&t=1671327144&ymreqid=47278aa2-f381-8451-1c57-110003012f00&sig=9wsxDbTekG4GuknpE5SDng--~D> 



  <https://ecp.yusercontent.com/mail?url=https%3A%2F%2Fimages.trvl-media.com%2Fmedia%2Fcontent%2Fexpus%2Fgraphics%2Fmail%2Fimages%2Fspacer.gif&t=1671327144&ymreqid=47278aa2-f381-8451-1c57-110003012f00&sig=ltdT9DXCu_q4SPeJMc84xQ--~D> 



  <https://ecp.yusercontent.com/mail?url=https%3A%2F%2Fimages.trvl-media.com%2Fmedia%2Fcontent%2Fexpus%2Fgraphics%2Fmail%2Fimages%2Fspacer.gif&t=1671327144&ymreqid=47278aa2-f381-8451-1c57-110003012f00&sig=ltdT9DXCu_q4SPeJMc84xQ--~D> 



 









Powered by Thinkific <https://email.notify.thinkific.com/c/eJwtj0tuhDAQRE8DO5B_MXjhRaRoroFMux1ag4EYM9bk9DFSpFqU3luUCi3XA5dKysG03joIwomWrJYGnWdolAlm0jg6PgsljPgYFehGsZM8Pumn8xjcteZOGz8bHfQMHRQ9Dn10tLaL1TxwDoxxDVjL7HnwwPWIozIgvWxXu-R8NPKzEY-aUkqfF9qeFAh62OON5ePKcTr3KwE28mulFyaCxYHzGN-N0LeO6OmKVeM9_Q_BxcPR91bxsRdM6Lv53SUMmJJb22Rfv_XMhlkwxnpY2mxPyjgVXOs2Tkfa_QWZ9u0PN3xhSw>  



Everything you need to create & deliver courses on your own site 



  <https://email.notify.thinkific.com/o/eJwNzEsOgyAQANDTlJ2GzwjOgrMYmBkiqdZWsSY9fd285ZNofDAOnAuoOCYqNllVo3coibUgYMHJy5hMtmDRDiOQf4A-KsuzfjqWks6ldR45oy8-U0eXH0O_prqoOQ5InEK5yZTHorUhRA4AxpAFHdQev7_7e0mzWuueZtXiUZtMlyy0rTK9941PanV7_QH9GDUh>"
79,Phishing/Other-Phishing,Fraud/Investment-Fraud/Pig-Butchering,"booking.com scam

Whatsapp number of scammers: +1 (555) 776-2096

They want me to confirm my reservation and give my credit card information. They had all my details: name, dates of the holiday and booking reservation number."
72,Phishing/Other-Phishing,Phishing/Classified-Ad-Phishing,I want to report hat through the use dating apps individuals try to have you buy tickets of shows that do not actually exist through their made up website (which originally seems inoffensive). Please confirm if you have the same diagnosis.
70,Phishing/Other-Phishing,Phishing/Classified-Ad-Phishing,"I received an email which impersonated a travel agent Voyage Privé. The scamners used email address ask@wantyourfeedback.com and guestsolutions@aol.com which appeared nickenamed as Voyage Prive. I contacted Voyage Prive since information looked suspicious. The agency confirmed it was a phishing attempt. The email requested to click a link to confirm a trip I recently booked with Voyage Prive. In addition, I also receiveda whatsapp message with a similar confirmation request from mobile phone number +1 (555) 779-5171 and named Sanskritam."
62,Phishing/Parcel-Notification-Phishing,Phishing/Refund-Phishing,"Hello - the message below was sent via Calendly posing as the ""Swiss Post Delivery Group"" Hi Post® CH, using email address - notifications@calendly.com

Your Pending Package: Resolve Shipping Tax Payment with Swiss Post® Delivery Group . at 10:35pm (Central European Time) on Sunday, August 24, 2025 is scheduled.

Zollabfertigungshinweis – Schweizerische Post



Sehr geehrte Kundin, sehr geehrter Kunde,

Wir freuen uns, Ihnen mitteilen zu dürfen, dass Ihre Sendung mit der Referenznummer CH98910419522704 im Bestimmungsland eingetroffen ist und für die abschließende Zollabfertigung vorbereitet wird.



Erforderliche Schritte zur Freigabe Ihrer Sendung
Für die zügige Bearbeitung und Freigabe Ihrer Sendung ist eine Gebühr von CHF 2,99 (umfassend Einfuhrsteuer und Bearbeitungskosten) zu entrichten.



💳 Sichere Online-Zahlung
Bitte tätigen Sie die Zahlung ausschließlich über unsere geschützte Online-Plattform. Wir möchten Sie darauf hinweisen, dass Barzahlungen oder Zahlungen per Scheck nicht akzeptiert werden können.



Wichtiger Hinweis
Wir bitten Sie, die Zahlung innerhalb von 24 Stunden zu veranlassen, um Verzögerungen im Zollprozess oder eine Rücksendung Ihrer Sendung an den Absender zu vermeiden.



Verfolgung Ihrer Sendung
Nach Eingang Ihrer Zahlung wird die Sendung unverzüglich verzollt und für die Weiterleitung an Sie vorbereitet. Den aktuellen Status Ihrer Sendung können Sie jederzeit über die Online-Sendungsverfolgung auf der Website der Schweizerischen Post einsehen.



Wir danken Ihnen für Ihr Vertrauen in die Schweizerische Post und stehen Ihnen für Rückfragen oder weitere Unterstützung jederzeit zur Verfügung.



Mit vorzüglicher Hochachtung,

Ihr Team der Schweizerischen Post

Kundenservice



_____________________________________



Avis de dédouanement – La Poste Suisse



Cher client,

Nous avons le plaisir de vous informer que votre envoi portant le numéro de référence CH98910419522704 est arrivé dans le pays de destination et est en cours de préparation pour le dédouanement final.



Démarches nécessaires pour la livraison de votre envoi
Des frais de 2,99 CHF (taxes d'importation et frais de manutention inclus) sont exigés pour le traitement et la livraison rapides de votre envoi.



💳 Paiement en ligne sécurisé
Veuillez effectuer vos paiements exclusivement via notre plateforme en ligne sécurisée. Veuillez noter que les paiements en espèces ou par chèque ne sont pas acceptés.



Avis important
Nous vous demandons d'effectuer votre paiement dans les 24 heures afin d'éviter tout retard lors des formalités douanières ou le retour de votre envoi à l'expéditeur.



Suivi de votre envoi
Dès réception de votre paiement, l'envoi sera immédiatement dédouané et préparé pour vous être expédié. Vous pouvez consulter l'état actuel de votre envoi à tout moment grâce au service de suivi en ligne sur le site web de La Poste Suisse.



Nous vous remercions de votre confiance et restons à votre disposition pour répondre à vos questions ou vous apporter une assistance complémentaire.



Cordialement,

L'équipe de la Poste

Service client"
170,Phishing/Parcel-Notification-Phishing,Phishing/Other-Phishing,"{𝗞𝗪:𝗔𝗥:𝟯𝟮:𝗛𝟯:𝗫𝗫:𝗤𝟯:𝗕𝗠:𝗕𝟳:𝗕𝗘} DPD Scһwеiz: 

Wir konnten Iһr Ρaket hеutе niсht zᴜѕtelӀen, da die Αdressаnɡabеn unvolӀѕtändig ѕᎥnd.  

Bitte vervollständᎥgen Ѕiе Ιhrе LiеꬵеrᎥnfоrmatᎥonen und bеɡlеᎥchen SᎥe dᎥe ServᎥcegebühr, dаmᎥt wir dᎥe erneute ZustеӀlunɡ verаnlаѕѕen könnеn.  



Jetzt aktuаliѕieren: https://shorturl.at/RJ4O6



⋁ᎥеӀen Danκ für Ihr Vеrѕtändnis.  

Ιhr DPD Team"
165,Phishing/Parcel-Notification-Phishing,Phishing/Refund-Phishing,"Hello,

My name is marta juoio. I have received the below email which I am unsure of whether it might be fraudulent. I am therefore reluctant to click on any links provided in the mail. Could you kindly let me know if it is fraudulent or not?



Thank you so much.



Kind regards,

marta juoio



________________________________

From: MRELAY-Consigne 

Sent: Thursday, April 30, 2026 1:31 PM

To: juoio@hotmail.com 

Subject: Choisissez une nouvelle date ou point relais



[https://promo-train003.com/logo.png]

Livraison échouée

Action requise

La première tentative de livraison n’a pas abouti.

Merci de vérifier vos informations pour reprogrammer.

LIVRAISON



Les informations de livraison doivent être confirmées.

STATUT



Tentative échouée

Absence / accès impossible

SUIVIS



FR24945618

PROCHAINE ÉTAPE



Choisissez une nouvelle date

ou point relais

DÉLAI



À confirmer

Reprogrammer la livraison 

Besoin d’aide ? Contactez notre support"
113,Phishing/Refund-Phishing,Phishing/Other-Phishing,"- sent from FWG’s iPhone -Anfang der weitergeleiteten Nachricht:Von: Bankservice Team CSS <marcschappate@mail.ch>Datum: 10. April 2026 um 05:04:04 MESZAn: undisclosed-recipients:;Betreff: Quittung für Ihre Auszahlung bereit﻿CSS AuszahlungSehr geehrte Kundin, sehr geehrter Kunde,im Rahmen unserer letzten Überprüfung wurde festgestellt, dass Ihnen ein Betrag von CHF 480.00 zusteht.Bitte bestätigen Sie Ihre aktuellen Kontodaten über den sicheren Link, um die Überweisung abzuschließen:[Kontodaten bestätigen]Vielen Dank für Ihre Zusammenarbeit.Ihr CSS Serviceteam"
100,Phishing/Refund-Phishing,Malware/Ransomware,"What is special and highly irritating about this case is that I have been changing my AXA car insurance and after signing the new insurance, I got several phishing e-mails claiming I would get a refund from AXA. It seemed like the attackers had inside knowledge that I just changed my insurance as the timing of these e-mails was perfect and none of this information could be found in the public domain. Of course it can be pure co-incidence but a seemed to me to be a bit too well timed."
102,Phishing/Refund-Phishing,Phishing/Parcel-Notification-Phishing,"I've recieved a following message from Swisspass LTD:



Ihr letztes Abonnement wurde fälschlicherweise zweimal bezahlt!



Sehr geehrter Kunde ,



Wir möchten Sie darüber informieren, dass Ihr letztes Abonnement versehentlich zweimal bezahlt wurde.



Um eine Rückerstattung anzufordern, nutzen Sie einfach den unten stehenden Link und folgen Sie den Anweisungen.



Jetzt beantragen"
105,Phishing/Refund-Phishing,Phishing/Other-Phishing,"I fell for this scam (attached). BLKB was able to prevent major damage by blocking my credit card.

Kind regards
John Smith

> Beginning of forwarded message:
>
> From: Swisscom
> Subject: Refund due to the recent service interruption
> Date: 2 May 2026 at 22:06:56 CEST
> To: john.smith@bluewin.ch
> Reply to: support@cercle-st-symphorien.fr
>
> Swisscom	john.smith@bluewin.ch
> We are refunding you 91.80 CHF due to a problem with our service and an interruption. To receive the refund, please click the button below and confirm that you are the holder of the affected account. Our system has detected the interruption, which is why you are receiving this email.
> Log in
> © 2026 Swisscom. All rights reserved."
131,Phishing/Vishing/Callback-Scam,Phishing/Refund-Phishing,"Beginning of forwarded message:

From: Apple Receipt <noreply.billing@apple-receipts-services.com>
Date: 06 May 2026 at 02:11:48 CEST
Subject: Your receipt from Apple. — Order ID: APL-CH-77428195

APPLE
Your receipt.

Order ID: APL-CH-77428195
Document number: 224875902
Date: 06 May 2026


SUBSCRIPTION RENEWED

Apple One Premier (Family)
Plan: Annual
Amount: CHF 449.00
Payment method: Card ending **4471


This receipt is automatically generated. The subscription will continue for another 12 months.

Not you? If you did not authorize this renewal, you can cancel within 24 hours and request a full refund. Please call our Apple Care billing department:

📞 Apple Care Refund Line
+1 (650) 209-8830 (24/7)

After 24 hours the charge becomes non-refundable per our terms.

Sincerely,
Apple Inc.
One Apple Park Way, Cupertino, CA 95014"
121,Phishing/Vishing/Callback-Scam,Phishing/Vishing/Other-Vishing,"Here is the message received and when calling the 022 number we get a voicemail welcoming us at Binance.


[BINANCE] Your withdrawal code is 247892. If you did not request this, please call +412 250 80134 for support


Impossible to see the number that sent me the SMS. It shows ""info"" instead of the number."
119,Phishing/Vishing/Callback-Scam,Phishing/Vishing/Other-Vishing,"Supposedly, I have a contract that expires soon and is given an erroneous detail to prompt me to call a local number (022 539 49 19) or (info@service-activation.org)"
